lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,1057,0.0,0.31189584732055664,-0.31189584732055664,
,1057,0,,,0.3940379321575165
5.230140165034092e-05,1058,,,,
,2115,1.0,0.29137933254241943,-0.29137933254241943,
,2115,1,,,0.3087134063243866
4.474009710065049e-05,2116,,,,
,3173,2.0,0.299905925989151,-0.299905925989151,
,3173,2,,,0.2890373170375824
3.3813695450309567e-05,3174,,,,
,4231,3.0,0.2748204171657562,-0.2748204171657562,
,4231,3,,,0.2789370119571686
2.1686304549690434e-05,4232,,,,
,5289,4.0,0.2749995291233063,-0.2749995291233063,
,5289,4,,,0.27045339345932007
1.0759902899349514e-05,5290,,,,
,6347,5.0,0.2715977728366852,-0.2715977728366852,
,6347,5,,,0.26039910316467285
3.1985983496590814e-06,6348,,,,
,7405,6.0,0.26806843280792236,-0.26806843280792236,
,7405,6,,,0.25401461124420166
