lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,245,0.0,0.44345593452453613,-0.44345593452453613,
,245,0,,,0.49718549847602844
5.134919225312596e-05,246,,,,
,491,1.0,0.45576485991477966,-0.45576485991477966,
,491,1,,,0.4575750231742859
4.1375e-05,492,,,,
,737,2.0,0.402232825756073,-0.402232825756073,
,737,2,,,0.4344283938407898
2.775e-05,738,,,,
,983,3.0,0.39120161533355713,-0.39120161533355713,
,983,3,,,0.42713338136672974
1.4125000000000008e-05,984,,,,
,1229,4.0,0.37960898876190186,-0.37960898876190186,
,1229,4,,,0.4074210524559021
4.150807746874046e-06,1230,,,,
,1475,5.0,0.38395950198173523,-0.38395950198173523,
,1475,5,,,0.4058256149291992
