lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,1057,0.0,0.3188062906265259,-0.3188062906265259,
,1057,0,,,0.41939008235931396
5.230140165034092e-05,1058,,,,
,2115,1.0,0.2982196509838104,-0.2982196509838104,
,2115,1,,,0.3142566680908203
4.474009710065049e-05,2116,,,,
,3173,2.0,0.29606893658638,-0.29606893658638,
,3173,2,,,0.2930532395839691
3.3813695450309567e-05,3174,,,,
,4231,3.0,0.2747790217399597,-0.2747790217399597,
,4231,3,,,0.28091269731521606
2.1686304549690434e-05,4232,,,,
,5289,4.0,0.27506887912750244,-0.27506887912750244,
,5289,4,,,0.2720560133457184
1.0759902899349514e-05,5290,,,,
,6347,5.0,0.2712230682373047,-0.2712230682373047,
,6347,5,,,0.2615716755390167
3.1985983496590814e-06,6348,,,,
,7405,6.0,0.26883333921432495,-0.26883333921432495,
,7405,6,,,0.25472283363342285
