lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,245,0.0,0.3983892798423767,-0.3983892798423767,
,245,0,,,0.4258277118206024
5.134919225312596e-05,246,,,,
,491,1.0,0.3968549072742462,-0.3968549072742462,
,491,1,,,0.4114360213279724
4.1375e-05,492,,,,
,737,2.0,0.38354015350341797,-0.38354015350341797,
,737,2,,,0.40036076307296753
2.775e-05,738,,,,
,983,3.0,0.38681745529174805,-0.38681745529174805,
,983,3,,,0.39357346296310425
1.4125000000000008e-05,984,,,,
,1229,4.0,0.40023133158683777,-0.40023133158683777,
,1229,4,,,0.38060852885246277
4.150807746874046e-06,1230,,,,
,1475,5.0,0.3789982795715332,-0.3789982795715332,
,1475,5,,,0.3764711022377014
