lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,245,0.0,0.4747054874897003,-0.4747054874897003,
,245,0,,,0.5121048092842102
5.134919225312596e-05,246,,,,
,491,1.0,0.4807318150997162,-0.4807318150997162,
,491,1,,,0.47419461607933044
4.1375e-05,492,,,,
,737,2.0,0.46939927339553833,-0.46939927339553833,
,737,2,,,0.4466995298862457
2.775e-05,738,,,,
,983,3.0,0.41800743341445923,-0.41800743341445923,
,983,3,,,0.43734118342399597
1.4125000000000008e-05,984,,,,
,1229,4.0,0.4213431179523468,-0.4213431179523468,
,1229,4,,,0.4238569140434265
4.150807746874046e-06,1230,,,,
,1475,5.0,0.418427437543869,-0.418427437543869,
,1475,5,,,0.41634589433670044
