lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,3365,0.0,0.07145874202251434,-0.07145874202251434,
,3365,0,,,0.0917765349149704
5.440452211999621e-05,3366,,,,
,6731,1.0,0.06729706376791,-0.06729706376791,
,6731,1,,,0.07308857142925262
5.2644113720760876e-05,6732,,,,
,10097,2.0,0.06555970758199692,-0.06555970758199692,
,10097,2,,,0.06932748854160309
4.979571309671732e-05,10098,,,,
,13463,3.0,0.06432026624679565,-0.06432026624679565,
,13463,3,,,0.06724166870117188
4.598380902327889e-05,13464,,,,
,16829,4.0,0.06147860735654831,-0.06147860735654831,
,16829,4,,,0.06566941738128662
4.1375e-05,16830,,,,
,20195,5.0,0.06123807653784752,-0.06123807653784752,
,20195,5,,,0.06430088728666306
3.617071309671732e-05,20196,,,,
,23561,6.0,0.06029477342963219,-0.06029477342963219,
,23561,6,,,0.06327245384454727
3.0598400624043563e-05,23562,,,,
,26927,7.0,0.06033575162291527,-0.06033575162291527,
,26927,7,,,0.06203136220574379
2.4901599375956447e-05,26928,,,,
,30293,8.0,0.05953378230333328,-0.05953378230333328,
,30293,8,,,0.06102040037512779
1.9329286903282684e-05,30294,,,,
,33659,9.0,0.05924447253346443,-0.05924447253346443,
,33659,9,,,0.060113150626420975
1.4125000000000008e-05,33660,,,,
,37025,10.0,0.05898762866854668,-0.05898762866854668,
,37025,10,,,0.059516120702028275
9.516190976721123e-06,37026,,,,
,40391,11.0,0.058734435588121414,-0.058734435588121414,
,40391,11,,,0.05887022241950035
5.704286903282686e-06,40392,,,,
,43757,12.0,0.05851304531097412,-0.05851304531097412,
,43757,12,,,0.058389026671648026
2.8558862792391233e-06,43758,,,,
,47123,13.0,0.05834638699889183,-0.05834638699889183,
,47123,13,,,0.057953909039497375
1.0954778800037949e-06,47124,,,,
,50489,14.0,0.05827374756336212,-0.05827374756336212,
,50489,14,,,0.057694900780916214
