lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,1669,0.0,0.08870382606983185,0.9783435937936689,
,1669,0,,,0.1173567846417427
5.440452211999621e-05,1670,,,,
,3339,1.0,0.07811320573091507,0.9818610515846216,
,3339,1,,,0.09216666966676712
5.2644113720760876e-05,3340,,,,
,5009,2.0,0.07575361430644989,0.9841604574554951,
,5009,2,,,0.08582378178834915
4.979571309671732e-05,5010,,,,
,6679,3.0,0.07423970848321915,0.9845187115993298,
,6679,3,,,0.08269457519054413
4.598380902327889e-05,6680,,,,
,8349,4.0,0.07298511266708374,0.9847286058551351,
,8349,4,,,0.0797453224658966
4.1375e-05,8350,,,,
,10019,5.0,0.07131140679121017,0.9855327306453727,
,10019,5,,,0.0772615373134613
3.617071309671732e-05,10020,,,,
,11689,6.0,0.06981418281793594,0.986104813674989,
,11689,6,,,0.07423541694879532
3.0598400624043563e-05,11690,,,,
,13359,7.0,0.07221533358097076,0.9864660897768984,
,13359,7,,,0.07196260988712311
2.4901599375956447e-05,13360,,,,
,15029,8.0,0.06894149631261826,0.9864854587028135,
,15029,8,,,0.06953474879264832
1.9329286903282684e-05,15030,,,,
,16699,9.0,0.07049581408500671,0.9865539496586405,
,16699,9,,,0.06673354655504227
1.4125000000000008e-05,16700,,,,
,18369,10.0,0.0704631358385086,0.9860064682071759,
,18369,10,,,0.06465999782085419
9.516190976721123e-06,18370,,,,
,20039,11.0,0.06955939531326294,0.9864763522653937,
,20039,11,,,0.06206187605857849
5.704286903282686e-06,20040,,,,
,21709,12.0,0.06915699690580368,0.9864994327237091,
,21709,12,,,0.05978243798017502
2.8558862792391233e-06,21710,,,,
,23379,13.0,0.06978114694356918,0.9865176455985485,
,23379,13,,,0.05829291045665741
1.0954778800037949e-06,23380,,,,
,25049,14.0,0.07010266929864883,0.9864951533065698,
,25049,14,,,0.056986793875694275
