lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,1616,0.0,0.22858363389968872,0.6455129290242344,
,1616,0,,,0.2292342483997345
5.440452211999621e-05,1617,,,,
,3233,1.0,0.08415459096431732,0.9832706026635345,
,3233,1,,,0.1880517303943634
5.2644113720760876e-05,3234,,,,
,4850,2.0,0.07524488866329193,0.9856604857236626,
,4850,2,,,0.09241578727960587
4.979571309671732e-05,4851,,,,
,6467,3.0,0.06907317787408829,0.9864906810840689,
,6467,3,,,0.08099746704101562
4.598380902327889e-05,6468,,,,
,8084,4.0,0.0676930621266365,0.9865662083498868,
,8084,4,,,0.07696697115898132
4.1375e-05,8085,,,,
,9701,5.0,0.06650355458259583,0.9880366797367558,
,9701,5,,,0.07217655330896378
3.617071309671732e-05,9702,,,,
,11318,6.0,0.06623633205890656,0.987845594458743,
,11318,6,,,0.06943666189908981
3.0598400624043563e-05,11319,,,,
,12935,7.0,0.06504717469215393,0.9876475566994283,
,12935,7,,,0.06679423153400421
2.4901599375956447e-05,12936,,,,
,14552,8.0,0.06426791846752167,0.9881285734026566,
,14552,8,,,0.06537486612796783
1.9329286903282684e-05,14553,,,,
,16169,9.0,0.0630732849240303,0.9888206691655297,
,16169,9,,,0.06334906816482544
1.4125000000000008e-05,16170,,,,
,17786,10.0,0.06266311556100845,0.9888714525072116,
,17786,10,,,0.0599018894135952
9.516190976721123e-06,17787,,,,
,19403,11.0,0.06196650117635727,0.9892000760022801,
,19403,11,,,0.05923090875148773
5.704286903282686e-06,19404,,,,
,21020,12.0,0.06253167986869812,0.9891536973381929,
,21020,12,,,0.05786999687552452
2.8558862792391233e-06,21021,,,,
,22637,13.0,0.06206825375556946,0.9892241289965973,
,22637,13,,,0.05701831355690956
1.0954778800037949e-06,22638,,,,
,24254,14.0,0.06154016777873039,0.9892891627657923,
,24254,14,,,0.05544992908835411
