lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,528,0.0,0.16275416314601898,-0.16275416314601898,
,528,0,,,0.23417405784130096
5.230140165034092e-05,529,,,,
,1057,1.0,0.13876132667064667,-0.13876132667064667,
,1057,1,,,0.1553470641374588
4.474009710065049e-05,1058,,,,
,1586,2.0,0.14427918195724487,-0.14427918195724487,
,1586,2,,,0.13650323450565338
3.3813695450309567e-05,1587,,,,
,2115,3.0,0.13390177488327026,-0.13390177488327026,
,2115,3,,,0.12311933934688568
2.1686304549690434e-05,2116,,,,
,2644,4.0,0.1323811262845993,-0.1323811262845993,
,2644,4,,,0.11342578381299973
1.0759902899349514e-05,2645,,,,
,3173,5.0,0.12312498688697815,-0.12312498688697815,
,3173,5,,,0.10458787530660629
3.1985983496590814e-06,3174,,,,
,3702,6.0,0.12872929871082306,-0.12872929871082306,
,3702,6,,,0.09359679371118546
