lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,1057,0.0,0.29269590973854065,-0.29269590973854065,
,1057,0,,,0.3466307818889618
5.230140165034092e-05,1058,,,,
,2115,1.0,0.3035724461078644,-0.3035724461078644,
,2115,1,,,0.2950434982776642
4.474009710065049e-05,2116,,,,
,3173,2.0,0.28760209679603577,-0.28760209679603577,
,3173,2,,,0.2832491099834442
3.3813695450309567e-05,3174,,,,
,4231,3.0,0.27244266867637634,-0.27244266867637634,
,4231,3,,,0.27268388867378235
2.1686304549690434e-05,4232,,,,
,5289,4.0,0.2692582607269287,-0.2692582607269287,
,5289,4,,,0.2643105983734131
1.0759902899349514e-05,5290,,,,
,6347,5.0,0.26860517263412476,-0.26860517263412476,
,6347,5,,,0.25360462069511414
3.1985983496590814e-06,6348,,,,
,7405,6.0,0.26604411005973816,-0.26604411005973816,
,7405,6,,,0.2452172189950943
