lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,196,0.0,0.4596289098262787,-0.4596289098262787,
,196,0,,,0.5061132907867432
5.134919225312596e-05,197,,,,
,393,1.0,0.4349471926689148,-0.4349471926689148,
,393,1,,,0.4623369872570038
4.1375e-05,394,,,,
,590,2.0,0.4709506630897522,-0.4709506630897522,
,590,2,,,0.4313157796859741
2.775e-05,591,,,,
,787,3.0,0.3828364908695221,-0.3828364908695221,
,787,3,,,0.4317190647125244
1.4125000000000008e-05,788,,,,
,984,4.0,0.3873150050640106,-0.3873150050640106,
,984,4,,,0.4189468026161194
4.150807746874046e-06,985,,,,
,1181,5.0,0.3710426986217499,-0.3710426986217499,
,1181,5,,,0.4041210412979126
