lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,1669,0.0,0.09363149851560593,0.9767056752708985,
,1669,0,,,0.1301850527524948
5.440452211999621e-05,1670,,,,
,3339,1.0,0.0802629292011261,0.9804212896645681,
,3339,1,,,0.09282669425010681
5.2644113720760876e-05,3340,,,,
,5009,2.0,0.08183717727661133,0.9819283006961708,
,5009,2,,,0.08691161125898361
4.979571309671732e-05,5010,,,,
,6679,3.0,0.07973475754261017,0.9821997086176296,
,6679,3,,,0.08220348507165909
4.598380902327889e-05,6680,,,,
,8349,4.0,0.07917474955320358,0.9821148172093331,
,8349,4,,,0.07902953773736954
4.1375e-05,8350,,,,
,10019,5.0,0.07502595335245132,0.9841000532380213,
,10019,5,,,0.076361283659935
3.617071309671732e-05,10020,,,,
,11689,6.0,0.07428795844316483,0.9840304483978455,
,11689,6,,,0.07406014949083328
3.0598400624043563e-05,11690,,,,
,13359,7.0,0.07213813066482544,0.9848211919935885,
,13359,7,,,0.071821428835392
2.4901599375956447e-05,13360,,,,
,15029,8.0,0.07181768119335175,0.9848576147898974,
,15029,8,,,0.06919850409030914
1.9329286903282684e-05,15030,,,,
,16699,9.0,0.06942908465862274,0.9855475078002263,
,16699,9,,,0.066850945353508
1.4125000000000008e-05,16700,,,,
,18369,10.0,0.07093612104654312,0.9853411798947794,
,18369,10,,,0.06498174369335175
9.516190976721123e-06,18370,,,,
,20039,11.0,0.07167554646730423,0.9852557585521214,
,20039,11,,,0.06288429349660873
5.704286903282686e-06,20040,,,,
,21709,12.0,0.07228130847215652,0.9851902708942928,
,21709,12,,,0.05973605811595917
2.8558862792391233e-06,21710,,,,
,23379,13.0,0.07134563475847244,0.9853074271523693,
,23379,13,,,0.05831122025847435
1.0954778800037949e-06,23380,,,,
,25049,14.0,0.07085496187210083,0.9853400384976932,
,25049,14,,,0.058244526386260986
