lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,1613,0.0,0.07163351029157639,0.9856884906095642,
,1613,0,,,0.09439649432897568
5.440452211999621e-05,1614,,,,
,3227,1.0,0.071415014564991,0.9866540804972045,
,3227,1,,,0.07997391372919083
5.2644113720760876e-05,3228,,,,
,4841,2.0,0.07819691300392151,0.9866187985127288,
,4841,2,,,0.07337523251771927
4.979571309671732e-05,4842,,,,
,6455,3.0,0.06986840069293976,0.9874287151251154,
,6455,3,,,0.07210113108158112
4.598380902327889e-05,6456,,,,
,8069,4.0,0.06973550468683243,0.9872277095885578,
,8069,4,,,0.0692884624004364
4.1375e-05,8070,,,,
,9683,5.0,0.06415244191884995,0.9888690427726212,
,9683,5,,,0.06452789157629013
