path,class_id,conf,x_min,y_min,x_max,y_max
/kaggle/temp/sagittal_all_images/1002894806___801316590___10.png,7,0.8145791292190552,261.49847507476807,275.49846172332764,292.00000762939453,306.9999933242798
/kaggle/temp/sagittal_all_images/1002894806___801316590___10.png,3,0.7942406535148621,253.49984169006348,167.99967288970947,283.0000162124634,198.00000190734863
/kaggle/temp/sagittal_all_images/1002894806___801316590___10.png,9,0.7913739681243896,273.49772453308105,316.49773120880127,304.00002002716064,347.00000286102295
/kaggle/temp/sagittal_all_images/1002894806___801316590___10.png,5,0.7897719740867615,253.50666046142578,224.50664043426514,282.99996852874756,253.99999618530273
/kaggle/temp/sagittal_all_images/1002894806___801316590___10.png,1,0.7812221646308899,261.9999885559082,113.49166631698608,291.5083408355713,144.0000057220459
/kaggle/temp/sagittal_all_images/1002894806___801316590___10.png,2,0.7151669859886169,155.47738075256348,162.9849076271057,185.4924440383911,193.5075283050537
/kaggle/temp/sagittal_all_images/1002894806___801316590___10.png,4,0.7029077410697937,151.4830470085144,232.03389644622803,182.00000524520874,262.55083084106445
/kaggle/temp/sagittal_all_images/1002894806___801316590___10.png,0,0.6976433396339417,171.49380445480347,98.49379658699036,201.50620937347412,128.99999618530273
/kaggle/temp/sagittal_all_images/1002894806___801316590___10.png,6,0.6964223384857178,155.9770703315735,295.4885482788086,186.00001335144043,326.02293491363525
/kaggle/temp/sagittal_all_images/1002894806___801316590___10.png,8,0.4415731728076935,172.5881814956665,363.59450817108154,202.59766578674316,394.60084438323975
/kaggle/temp/sagittal_all_images/1002894806___801316590___10.png,0,0.0067184786312282085,182.94737339019775,100.84211826324463,212.10525035858154,129.99999523162842
/kaggle/temp/sagittal_all_images/1002894806___801316590___10.png,8,0.00246581,165.0,356.0,193.0,384.0
/kaggle/temp/sagittal_all_images/1002894806___801316590___10.png,6,0.0010544549440965056,142.45086908340454,294.45087909698486,173.274564743042,327.2745609283447
/kaggle/temp/sagittal_all_images/1002894806___801316590___10.png,8,0.0006747784791514277,157.49599933624268,363.97600173950195,193.5119867324829,399.9919891357422
/kaggle/temp/sagittal_all_images/1002894806___801316590___10.png,4,0.0004912567674182355,138.29160928726196,228.35419178009033,170.2916145324707,261.2569808959961
/kaggle/temp/sagittal_all_images/1002894806___801316590___10.png,4,0.00036552961682900786,162.00000047683716,229.59110736846924,191.61336421966553,258.99999141693115
/kaggle/temp/sagittal_all_images/1002894806___801316590___10.png,2,0.00036085007,143.0,160.0,174.0,192.0
/kaggle/temp/sagittal_all_images/1002894806___801316590___10.png,1,0.0003209222,270.0,57.99999999999999,299.0,86.0
